Character Performance:
Cocoa: 58.70544451325434
Xunyu: 57.41878657062349
Waldo: 57.1635621151262
Requina: 56.90350544135626
CocoaRT: 56.83671146418234
Sunny: 56.60864707352959
Yuri: 56.39980531062063
Cate: 55.95253166154167
Fox: 55.68599994982006
Toby: 55.24734513621476
Pinee: 55.19983320433421
Snow: 54.99044322866303
XunmuAL: 54.76796113779142
Xunmu: 54.47832166662517
TobyRT: 54.43344387500816
Brandon: 54.41107289145514
Jerry: 54.32569514752521
Olive: 54.27883299915365
Heracles: 54.269492420151245
Pheonix: 54.22203066526114
ShuijingAL: 53.95174796858655
Tian: 53.85310104778237
Tom: 53.71800908199859
Scout: 53.277701657192566
Poppy: 53.04608960655469
Chiffon: 53.010475196665695
Ophelia: 52.94912580296288
Ruby: 52.93802367231196
FreyaBP: 52.91311549619293
Taiyi: 52.78777677790816
Nata: 52.11272276377532
RubinPF: 52.033752417219794
CheiHW: 51.97929813950359
RavenWB: 51.979148742519286
Roseiri: 51.54080517279377
Cattee: 51.41704682285935
Cerberus: 51.266305002551746
Chei: 51.212127666373455
Lancelot: 51.21078680874162
Zhen: 51.1980240769044
LenpoOG: 51.051847697763925
Iris: 51.04265364681309
Timber: 50.773990322872244
AceAL: 50.73344408632778
Eddie: 50.45468558530613
Shuijing: 50.42428658056685
Rika: 50.3728168809449
Zed: 50.106811530239874
Freya: 50.07550300717096
April: 50.01521394390232
Pepper: 49.97834750757245
Nobutuna: 49.96457841599492
Cliffe: 49.88509799599088
George: 49.528794657684095
ZedAN: 49.43107308794311
Wolf: 49.28704420629478
Taily: 49.28627461384549
Glass: 49.2074732845367
Pine: 49.18086998033544
Ace: 49.07666092750376
Seth: 49.026066363282034
Moe: 48.83198712445741
Sasaki: 48.77873244848845
Kyle: 48.7231172410772
Luna: 48.712373862836685
Fred: 48.60210101092005
Lenpo: 48.4751521259919
Raven: 48.30327760455263
Wyatt: 48.02762867223686
Don: 48.017626913950316
FreyaSK: 47.94026055417856
Clarence: 47.93692339313403
Season: 47.71696058412278
Qimon: 47.684466690250694
Zyl: 47.4816349134002
Clover: 47.3458064525904
Mitsuki: 47.22257288545484
Ulric: 47.198435459334085
Imada: 47.18066955589493
Dophine: 47.116976629466905
Wenyuan: 47.072421266163744
Gabe: 46.85893774762894
Bell: 46.63978883141443
Gareth: 46.57774613107973
East: 46.09293381713521
Lillia: 45.99014835802557
Beacon: 45.69953782618674
Rubin: 45.563347062254245
Fenrir: 45.54537305046593
Percival: 45.52742501299225
NobutunaAL: 45.35008734083146
Cupid: 45.08547901995671
Martin: 44.285807624198526
Lu: 44.20384765745321
Gawain: 44.13726427755248
Inaba: 43.988603376613476
Lester: 42.66909206471892
Joe: 42.50476665174937
QimonNY: 42.29991970135311
Jingke: 42.20021408412209
Galahad: 41.932387329271776
Cory: 39.35116104293991

Equipment Performance:
7891: 52.15868062155021
Liquidation: 51.932056740395694
Armygreen: 51.886623009874675
NUSA: 51.695245383408405
KangTao: 51.449434602252765
Sovereign: 51.11217545064522
1987: 51.065369103937755
Armydesert: 50.818188826086
Purplestar: 50.66241638468678
Runic: 50.46490920887062
Freight: 50.226362247219896
Arasaka: 50.11154287236604
Snowflake: 50.05485618841987
Bamboo: 50.050684286507554
Flute: 49.553416247555006
Militech: 49.343133649676254
Dawn: 49.26830761289253
Newspaper: 49.185183103040416
OldRusty: 49.18113259217399
Rainbow: 49.080022533998395
Rose: 48.53640561230732
Grassland: 48.43200519450816
Cosmic: 48.1211963553585
Cloud: 47.87186083867186
Tigris: 47.854276165207594
