character_name,"[('1987', 4)]","[('7891', 4)]","[('Arasaka', 4)]","[('Armydesert', 4)]","[('Armygreen', 4)]","[('Bamboo', 4)]","[('Cloud', 4)]","[('Cosmic', 4)]","[('Dawn', 4)]","[('Flute', 4)]","[('Freight', 4)]","[('Grassland', 4)]","[('KangTao', 4)]","[('Liquidation', 4)]","[('Militech', 4)]","[('NUSA', 4)]","[('Newspaper', 4)]","[('OldRusty', 4)]","[('Purplestar', 4)]","[('Rainbow', 4)]","[('Rose', 4)]","[('Runic', 4)]","[('Snowflake', 4)]","[('Sovereign', 4)]","[('Tigris', 4)]"
Ace,47.05882352941176,55.2,48.1981981981982,52.69709543568465,51.141552511415526,44.63519313304721,50.0,46.186440677966104,50.23923444976076,46.03174603174603,50.480769230769226,47.03389830508475,47.80701754385965,52.47933884297521,43.54066985645933,47.5206611570248,50.24875621890548,50.96153846153846,50.98814229249013,51.293103448275865,49.50980392156863,53.90946502057613,46.2962962962963,50.697674418604656,41.70403587443946
AceAL,57.46606334841629,47.57709251101321,54.34782608695651,50.23041474654379,50.224215246636774,53.74449339207048,50.0,45.83333333333333,39.31623931623932,51.18483412322274,60.85106382978723,47.82608695652174,54.666666666666664,52.19512195121951,46.18834080717489,46.3963963963964,52.44444444444445,49.59016393442623,44.87804878048781,52.10084033613446,45.09803921568628,52.81385281385281,50.0,45.11627906976744,54.46808510638298
April,51.627906976744185,57.41626794258373,48.93617021276596,47.78761061946903,51.61290322580645,50.88495575221239,45.85152838427947,44.03669724770643,55.36480686695279,57.391304347826086,51.44032921810699,48.23008849557522,50.753768844221106,44.97816593886463,43.42105263157895,57.07964601769911,52.15311004784689,48.57142857142857,50.5,45.21739130434783,50.20080321285141,50.78740157480315,50.45871559633027,55.15695067264574,50.71090047393365
Beacon,46.03960396039604,51.173708920187785,45.33333333333333,43.86792452830189,41.596638655462186,49.75124378109453,43.05555555555556,50.0,44.1025641025641,48.54771784232365,48.792270531400966,45.539906103286384,44.89795918367347,46.97674418604651,50.0,47.136563876651984,43.86792452830189,49.056603773584904,50.0,48.717948717948715,48.67724867724868,44.843049327354265,42.48927038626609,45.45454545454545,44.95412844036697
Bell,47.20812182741117,43.26530612244898,46.93877551020408,45.1219512195122,53.07017543859649,51.21951219512195,39.40677966101695,45.83333333333333,48.67256637168141,54.629629629629626,44.140625,45.70135746606335,43.103448275862064,44.3579766536965,45.887445887445885,51.690821256038646,49.36708860759494,49.18032786885246,44.49339207048458,46.75324675324675,47.5206611570248,50.92592592592593,48.98989898989899,56.36363636363636,45.370370370370374
Brandon,57.14285714285714,56.52173913043478,50.0,57.85123966942148,55.10204081632652,51.388888888888886,54.93562231759657,53.24675324675325,50.0,55.21739130434783,46.058091286307054,51.231527093596064,57.20338983050848,58.44748858447488,59.13461538461539,58.92857142857143,47.767857142857146,49.76958525345622,52.56410256410257,58.490566037735846,49.76744186046512,56.76855895196506,56.00000000000001,59.40170940170941,52.27272727272727
Cate,57.27272727272727,51.80722891566265,50.44642857142857,54.58333333333333,60.71428571428571,59.91379310344828,49.800796812749006,56.94444444444444,54.54545454545454,54.27350427350427,53.48837209302325,46.116504854368934,59.19282511210763,62.89592760180995,51.072961373390555,51.229508196721305,57.438016528925615,60.08771929824561,56.837606837606835,54.83870967741935,48.258706467661696,58.333333333333336,51.010101010101,57.3394495412844,55.895196506550214
Cattee,51.931330472103,50.45454545454545,49.48979591836735,50.672645739910315,56.46551724137932,57.14285714285714,48.10126582278481,45.909090909090914,52.01793721973094,52.093023255813954,55.84415584415584,51.13122171945701,49.78165938864629,56.62100456621004,48.06866952789699,59.90783410138248,51.66666666666667,56.62100456621004,51.06382978723404,51.89873417721519,50.0,52.083333333333336,54.418604651162795,58.22222222222222,51.12107623318386
Cerberus,53.80952380952381,53.170731707317074,56.13207547169811,50.96153846153846,58.09128630705395,49.75124378109453,50.427350427350426,47.11111111111111,53.06122448979592,54.418604651162795,54.26008968609865,52.17391304347826,48.401826484018265,49.0,47.549019607843135,58.767772511848335,47.391304347826086,45.57522123893805,55.06607929515418,45.67901234567901,50.45045045045045,52.21238938053098,50.22026431718062,54.502369668246445,44.54976303317535
CerberusLT,48.55769230769231,53.44827586206896,53.57142857142857,42.241379310344826,51.037344398340245,49.39759036144578,45.535714285714285,52.63157894736842,49.494949494949495,47.465437788018434,56.21890547263681,42.96577946768061,47.41379310344828,52.58620689655172,47.23404255319149,54.91071428571429,47.27272727272727,46.948356807511736,46.35416666666667,45.416666666666664,50.0,50.0,60.26785714285714,45.23809523809524,53.07017543859649
Chei,57.89473684210527,52.19512195121951,52.719665271966534,52.293577981651374,50.0,51.86915887850467,50.8695652173913,43.72093023255814,54.95495495495496,48.52320675105485,55.98290598290598,51.21951219512195,53.94736842105263,58.139534883720934,44.4954128440367,51.98019801980198,56.9620253164557,52.82258064516129,56.95067264573991,40.0,48.27586206896552,57.27699530516433,57.028112449799195,54.95495495495496,48.803827751196174
