character_name,equipment_set,wins,losses,winrate,is_boss
April,1987,20,12,62.5,False
April,7891,10,20,33.33333333333333,False
April,Arasaka,13,16,44.827586206896555,False
April,Bamboo,16,17,48.484848484848484,False
April,Cloud,10,11,47.61904761904761,False
April,Cosmic,12,18,40.0,False
April,Dawn,12,12,50.0,False
April,Flute,12,14,46.15384615384615,False
April,Freight,9,17,34.61538461538461,False
April,Grassland,9,12,42.857142857142854,False
April,KangTao,14,8,63.63636363636363,False
April,Liquidation,15,15,50.0,False
April,Militech,19,18,51.35135135135135,False
April,NUSA,15,16,48.38709677419355,False
April,Newspaper,9,13,40.909090909090914,False
April,OldRusty,19,12,61.29032258064516,False
April,Purplestar,18,14,56.25,False
April,Rainbow,14,22,38.88888888888889,False
April,Rose,9,15,37.5,False
April,Runic,18,20,47.368421052631575,False
April,Snowflake,18,9,66.66666666666666,False
April,Sovereign,21,19,52.5,False
April,Tigris,23,17,57.49999999999999,False
Beacon,1987,13,13,50.0,False
Beacon,7891,11,19,36.666666666666664,False
Beacon,Arasaka,14,13,51.85185185185185,False
Beacon,Bamboo,9,19,32.142857142857146,False
Beacon,Cloud,16,10,61.53846153846154,False
Beacon,Cosmic,15,17,46.875,False
Beacon,Dawn,18,18,50.0,False
Beacon,Flute,14,16,46.666666666666664,False
Beacon,Freight,16,18,47.05882352941176,False
Beacon,Grassland,12,24,33.33333333333333,False
Beacon,KangTao,17,11,60.71428571428571,False
Beacon,Liquidation,16,16,50.0,False
Beacon,Militech,19,22,46.34146341463415,False
Beacon,NUSA,16,15,51.61290322580645,False
Beacon,Newspaper,12,16,42.857142857142854,False
Beacon,OldRusty,11,14,44.0,False
Beacon,Purplestar,12,13,48.0,False
Beacon,Rainbow,15,12,55.55555555555556,False
Beacon,Rose,16,17,48.484848484848484,False
Beacon,Runic,13,22,37.142857142857146,False
Beacon,Snowflake,16,13,55.172413793103445,False
Beacon,Sovereign,13,17,43.333333333333336,False
Beacon,Tigris,13,27,32.5,False
Bell,1987,17,23,42.5,False
Bell,7891,14,16,46.666666666666664,False
Bell,Arasaka,14,13,51.85185185185185,False
Bell,Bamboo,26,18,59.09090909090909,False
Bell,Cloud,8,18,30.76923076923077,False
Bell,Cosmic,12,20,37.5,False
Bell,Dawn,9,14,39.130434782608695,False
Bell,Flute,15,8,65.21739130434783,False
Bell,Freight,18,16,52.94117647058824,False
Bell,Grassland,22,26,45.83333333333333,False
Bell,KangTao,15,14,51.724137931034484,False
Bell,Liquidation,12,15,44.44444444444444,False
Bell,Militech,9,16,36.0,False
Bell,NUSA,20,9,68.96551724137932,False
Bell,Newspaper,14,17,45.16129032258064,False
Bell,OldRusty,14,8,63.63636363636363,False
Bell,Purplestar,18,16,52.94117647058824,False
Bell,Rainbow,11,10,52.38095238095239,False
Bell,Rose,16,19,45.714285714285715,False
Bell,Runic,20,15,57.14285714285714,False
Bell,Snowflake,17,21,44.73684210526316,False
Bell,Sovereign,15,17,46.875,False
Bell,Tigris,13,19,40.625,False
Cate,1987,16,14,53.333333333333336,False
Cate,7891,17,12,58.620689655172406,False
Cate,Arasaka,17,13,56.666666666666664,False
Cate,Bamboo,15,14,51.724137931034484,False
Cate,Cloud,16,17,48.484848484848484,False
Cate,Cosmic,11,12,47.82608695652174,False
Cate,Dawn,26,13,66.66666666666666,False
Cate,Flute,13,11,54.166666666666664,False
Cate,Freight,15,12,55.55555555555556,False
Cate,Grassland,20,13,60.60606060606061,False
Cate,KangTao,17,17,50.0,False
Cate,Liquidation,10,16,38.46153846153847,False
Cate,Militech,19,20,48.717948717948715,False
Cate,NUSA,20,15,57.14285714285714,False
Cate,Newspaper,25,16,60.97560975609756,False
Cate,OldRusty,21,16,56.75675675675676,False
Cate,Purplestar,21,14,60.0,False
Cate,Rainbow,18,13,58.06451612903226,False
Cate,Rose,20,13,60.60606060606061,False
Cate,Runic,21,11,65.625,False
Cate,Snowflake,15,16,48.38709677419355,False
Cate,Sovereign,28,14,66.66666666666666,False
Cate,Tigris,24,10,70.58823529411765,False
Cattee,1987,14,16,46.666666666666664,False
Cattee,7891,9,8,52.94117647058824,False
Cattee,Arasaka,16,16,50.0,False
Cattee,Bamboo,16,10,61.53846153846154,False
Cattee,Cloud,11,14,44.0,False
Cattee,Cosmic,17,16,51.515151515151516,False
Cattee,Dawn,18,9,66.66666666666666,False
Cattee,Flute,17,8,68.0,False
Cattee,Freight,16,14,53.333333333333336,False
Cattee,Grassland,15,19,44.11764705882353,False
Cattee,KangTao,17,13,56.666666666666664,False
Cattee,Liquidation,18,14,56.25,False
Cattee,Militech,22,11,66.66666666666666,False
Cattee,NUSA,12,9,57.14285714285714,False
Cattee,Newspaper,21,11,65.625,False
Cattee,OldRusty,18,11,62.06896551724138,False
Cattee,Purplestar,21,10,67.74193548387096,False
Cattee,Rainbow,18,19,48.64864864864865,False
Cattee,Rose,10,19,34.48275862068966,False
Cattee,Runic,29,13,69.04761904761905,False
Cattee,Snowflake,18,18,50.0,False
Cattee,Sovereign,25,9,73.52941176470588,False
Cattee,Tigris,20,14,58.82352941176471,False
Cerberus,1987,15,22,40.54054054054054,False
Cerberus,7891,15,8,65.21739130434783,False
Cerberus,Arasaka,14,19,42.42424242424242,False
Cerberus,Bamboo,18,13,58.06451612903226,False
Cerberus,Cloud,20,12,62.5,False
Cerberus,Cosmic,13,14,48.148148148148145,False
Cerberus,Dawn,18,16,52.94117647058824,False
Cerberus,Flute,14,25,35.8974358974359,False
Cerberus,Freight,17,14,54.83870967741935,False
Cerberus,Grassland,10,16,38.46153846153847,False
Cerberus,KangTao,19,15,55.88235294117647,False
Cerberus,Liquidation,22,12,64.70588235294117,False
Cerberus,Militech,14,8,63.63636363636363,False
Cerberus,NUSA,19,20,48.717948717948715,False
Cerberus,Newspaper,12,21,36.36363636363637,False
Cerberus,OldRusty,29,14,67.44186046511628,False
Cerberus,Purplestar,17,15,53.125,False
Cerberus,Rainbow,11,13,45.83333333333333,False
Cerberus,Rose,20,13,60.60606060606061,False
Cerberus,Runic,15,6,71.42857142857143,False
Cerberus,Snowflake,15,14,51.724137931034484,False
Cerberus,Sovereign,9,14,39.130434782608695,False
Cerberus,Tigris,10,8,55.55555555555556,False
CheiHW,1987,18,19,48.64864864864865,False
CheiHW,7891,17,15,53.125,False
CheiHW,Arasaka,18,16,52.94117647058824,False
CheiHW,Bamboo,11,15,42.30769230769231,False
CheiHW,Cloud,19,20,48.717948717948715,False
CheiHW,Cosmic,15,12,55.55555555555556,False
CheiHW,Dawn,15,10,60.0,False
CheiHW,Flute,19,14,57.57575757575758,False
CheiHW,Freight,9,14,39.130434782608695,False
CheiHW,Grassland,17,11,60.71428571428571,False
CheiHW,KangTao,14,20,41.17647058823529,False
CheiHW,Liquidation,7,16,30.434782608695656,False
CheiHW,Militech,13,6,68.42105263157895,False
CheiHW,NUSA,20,11,64.51612903225806,False
CheiHW,Newspaper,14,15,48.275862068965516,False
CheiHW,OldRusty,24,17,58.536585365853654,False
CheiHW,Purplestar,20,13,60.60606060606061,False
CheiHW,Rainbow,21,17,55.26315789473685,False
CheiHW,Rose,17,13,56.666666666666664,False
CheiHW,Runic,17,11,60.71428571428571,False
CheiHW,Snowflake,22,16,57.89473684210527,False
CheiHW,Sovereign,15,15,50.0,False
CheiHW,Tigris,18,14,56.25,False
Chei,1987,16,16,50.0,False
Chei,7891,16,15,51.61290322580645,False
Chei,Arasaka,16,11,59.25925925925925,False
Chei,Bamboo,14,14,50.0,False
Chei,Cloud,10,13,43.47826086956522,False
Chei,Cosmic,18,15,54.54545454545454,False
Chei,Dawn,14,14,50.0,False
Chei,Flute,11,22,33.33333333333333,False
Chei,Freight,17,10,62.96296296296296,False
Chei,Grassland,18,18,50.0,False
Chei,KangTao,17,15,53.125,False
Chei,Liquidation,16,11,59.25925925925925,False
Chei,Militech,15,20,42.857142857142854,False
Chei,NUSA,16,12,57.14285714285714,False
Chei,Newspaper,14,9,60.86956521739131,False
Chei,OldRusty,19,19,50.0,False
Chei,Purplestar,13,13,50.0,False
Chei,Rainbow,22,17,56.41025641025641,False
Chei,Rose,22,19,53.65853658536586,False
Chei,Runic,16,8,66.66666666666666,False
Chei,Snowflake,18,17,51.42857142857142,False
Chei,Sovereign,23,15,60.526315789473685,False
Chei,Tigris,16,18,47.05882352941176,False
Chiffon,1987,10,14,41.66666666666667,False
Chiffon,7891,15,11,57.692307692307686,False
Chiffon,Arasaka,23,15,60.526315789473685,False
Chiffon,Bamboo,21,20,51.21951219512195,False
Chiffon,Cloud,14,15,48.275862068965516,False
Chiffon,Cosmic,8,12,40.0,False
Chiffon,Dawn,16,21,43.24324324324324,False
Chiffon,Flute,12,28,30.0,False
Chiffon,Freight,15,16,48.38709677419355,False
Chiffon,Grassland,20,9,68.96551724137932,False
Chiffon,KangTao,16,15,51.61290322580645,False
Chiffon,Liquidation,20,14,58.82352941176471,False
Chiffon,Militech,15,9,62.5,False
Chiffon,NUSA,19,19,50.0,False
Chiffon,Newspaper,15,16,48.38709677419355,False
Chiffon,OldRusty,20,7,74.07407407407408,False
Chiffon,Purplestar,20,12,62.5,False
Chiffon,Rainbow,12,18,40.0,False
Chiffon,Rose,9,15,37.5,False
Chiffon,Runic,19,27,41.30434782608695,False
Chiffon,Snowflake,17,17,50.0,False
Chiffon,Sovereign,21,12,63.63636363636363,False
Chiffon,Tigris,20,13,60.60606060606061,False
Clarence,1987,17,16,51.515151515151516,False
Clarence,7891,14,21,40.0,False
Clarence,Arasaka,8,15,34.78260869565217,False
Clarence,Bamboo,18,14,56.25,False
Clarence,Cloud,12,17,41.37931034482759,False
Clarence,Cosmic,8,15,34.78260869565217,False
Clarence,Dawn,14,12,53.84615384615385,False
Clarence,Flute,17,18,48.57142857142857,False
Clarence,Freight,12,13,48.0,False
Clarence,Grassland,13,19,40.625,False
Clarence,KangTao,24,13,64.86486486486487,False
Clarence,Liquidation,16,14,53.333333333333336,False
Clarence,Militech,6,10,37.5,False
Clarence,NUSA,17,14,54.83870967741935,False
Clarence,Newspaper,10,12,45.45454545454545,False
Clarence,OldRusty,13,18,41.935483870967744,False
Clarence,Purplestar,18,13,58.06451612903226,False
Clarence,Rainbow,20,20,50.0,False
Clarence,Rose,15,13,53.57142857142857,False
Clarence,Runic,14,13,51.85185185185185,False
Clarence,Snowflake,15,18,45.45454545454545,False
Clarence,Sovereign,20,14,58.82352941176471,False
Clarence,Tigris,21,21,50.0,False
Cliffe,1987,13,15,46.42857142857143,False
Cliffe,7891,22,14,61.111111111111114,False
Cliffe,Arasaka,26,23,53.06122448979592,False
Cliffe,Bamboo,9,19,32.142857142857146,False
Cliffe,Cloud,16,18,47.05882352941176,False
Cliffe,Cosmic,18,11,62.06896551724138,False
Cliffe,Dawn,16,8,66.66666666666666,False
Cliffe,Flute,15,17,46.875,False
Cliffe,Freight,20,14,58.82352941176471,False
Cliffe,Grassland,24,17,58.536585365853654,False
Cliffe,KangTao,13,13,50.0,False
Cliffe,Liquidation,21,8,72.41379310344827,False
Cliffe,Militech,9,20,31.03448275862069,False
Cliffe,NUSA,19,18,51.35135135135135,False
Cliffe,Newspaper,17,13,56.666666666666664,False
Cliffe,OldRusty,19,13,59.375,False
Cliffe,Purplestar,22,12,64.70588235294117,False
Cliffe,Rainbow,16,18,47.05882352941176,False
Cliffe,Rose,13,21,38.23529411764706,False
Cliffe,Runic,8,8,50.0,False
Cliffe,Snowflake,13,12,52.0,False
Cliffe,Sovereign,16,18,47.05882352941176,False
Cliffe,Tigris,19,24,44.18604651162791,False
Clover,1987,9,19,32.142857142857146,False
Clover,7891,17,15,53.125,False
Clover,Arasaka,15,25,37.5,False
Clover,Bamboo,12,19,38.70967741935484,False
Clover,Cloud,14,14,50.0,False
Clover,Cosmic,16,16,50.0,False
Clover,Dawn,13,15,46.42857142857143,False
Clover,Flute,12,16,42.857142857142854,False
Clover,Freight,13,15,46.42857142857143,False
Clover,Grassland,16,21,43.24324324324324,False
Clover,KangTao,23,18,56.09756097560976,False
Clover,Liquidation,15,18,45.45454545454545,False
Clover,Militech,7,11,38.88888888888889,False
Clover,NUSA,17,19,47.22222222222222,False
Clover,Newspaper,15,15,50.0,False
Clover,OldRusty,15,9,62.5,False
Clover,Purplestar,17,16,51.515151515151516,False
Clover,Rainbow,14,18,43.75,False
Clover,Rose,11,16,40.74074074074074,False
Clover,Runic,16,16,50.0,False
Clover,Snowflake,15,17,46.875,False
Clover,Sovereign,19,11,63.33333333333333,False
Clover,Tigris,18,13,58.06451612903226,False
CocoaRT,1987,21,10,67.74193548387096,False
CocoaRT,7891,17,14,54.83870967741935,False
CocoaRT,Arasaka,13,13,50.0,False
CocoaRT,Bamboo,18,12,60.0,False
CocoaRT,Cloud,13,16,44.827586206896555,False
CocoaRT,Cosmic,12,16,42.857142857142854,False
CocoaRT,Dawn,21,24,46.666666666666664,False
CocoaRT,Flute,17,12,58.620689655172406,False
CocoaRT,Freight,23,10,69.6969696969697,False
CocoaRT,Grassland,21,14,60.0,False
CocoaRT,KangTao,27,19,58.69565217391305,False
CocoaRT,Liquidation,18,6,75.0,False
CocoaRT,Militech,17,13,56.666666666666664,False
CocoaRT,NUSA,19,20,48.717948717948715,False
CocoaRT,Newspaper,18,14,56.25,False
